index,우편번호,주소,실시간빠른길,편한길,최적경로,무료우선,second_highest
29667,54391,전북특별자치도 김제시 동서로 193,210.18,227.04,210.18,234.52,227.04
29668,54392,전북특별자치도 김제시 중앙로 206,210.99,227.85,210.99,235.33,227.85
29669,54393,전북특별자치도 김제시 금성로 57,211.28,228.14,211.28,235.23,228.14
29670,54394,전북특별자치도 김제시 중앙로 161,211.52,228.38,211.52,235.86,228.38
29671,54395,전북특별자치도 김제시 도작8길 36,211.68,228.54,211.68,234.57,228.54
29672,54396,전북특별자치도 김제시 도작8길 67,210.9,227.77,210.9,234.66,227.77
29673,54397,전북특별자치도 김제시 도작로 71,211.69,228.56,211.69,234.59,228.56
29674,54398,전북특별자치도 김제시 금성로 149,212.38,229.25,212.38,235.85,229.25
29675,54399,전북특별자치도 김제시 금성로 128,212.33,229.19,212.33,235.79,229.19
29676,54400,전북특별자치도 김제시 두월로 287,212.6,229.47,212.6,236.2,229.47
29677,54401,전북특별자치도 김제시 도작3길 46,212.86,229.72,212.86,234.71,229.72
29678,54402,전북특별자치도 김제시 도작2길 35,211.93,228.79,211.93,233.64,228.79
29679,54403,전북특별자치도 김제시 도작로 33,212.16,229.02,212.16,233.31,229.02
29680,54404,전북특별자치도 김제시 중앙11길 57,212.14,212.14,212.14,233.29,212.14
29681,54405,전북특별자치도 김제시 신풍길 130,211.27,228.13,211.27,233.86,228.13
29682,54406,전북특별자치도 김제시 남북로 72,211.96,228.82,211.96,238.6,228.82
29683,54407,전북특별자치도 김제시 남북로 92,210.67,227.54,210.67,237.31,227.54
29684,54408,전북특별자치도 김제시 남북12길 36,210.37,227.24,210.37,237.01,227.24
29685,54409,전북특별자치도 김제시 옥산3길 81,210.64,227.5,210.64,237.28,227.5
29686,54410,전북특별자치도 김제시 효자로 83,210.84,227.7,210.84,237.48,227.7
29687,54411,전북특별자치도 김제시 남북9길 23,210.55,227.42,210.55,237.19,227.42
29688,54412,전북특별자치도 김제시 효자2길 74,211.21,228.08,211.21,237.85,228.08
29689,54413,전북특별자치도 김제시 남북2길 25,211.34,228.21,211.34,237.98,228.21
29690,54414,전북특별자치도 김제시 효자로 58,211.02,227.88,211.02,237.66,227.88
29691,54415,전북특별자치도 김제시 동서로 47,210.15,227.01,210.15,236.79,227.01
29692,54416,전북특별자치도 김제시 벽성로 195,210.24,227.11,210.24,236.88,227.11
29693,54417,전북특별자치도 김제시 신덕1길 22,214.56,231.43,214.56,240.91,231.43
29694,54418,전북특별자치도 김제시 덕산길 35,215.11,231.97,215.11,241.46,231.97
29695,54419,전북특별자치도 김제시 옥성2길 216,212.84,229.6,212.84,239.09,229.6
29696,54420,전북특별자치도 김제시 화초로 185,212.84,229.71,212.84,239.2,229.71
29697,54421,전북특별자치도 김제시 복죽2길 110,207.56,207.56,207.56,240.25,207.56
29698,54422,전북특별자치도 김제시 대창로 207,216.71,233.58,216.71,243.07,233.58
29699,54423,전북특별자치도 김제시 신흥6길 97,215.87,232.74,215.87,242.22,232.74
29700,54424,전북특별자치도 김제시 금강1길 29,219.54,236.41,219.54,245.9,236.41
29701,54425,전북특별자치도 김제시 대평1길 70,218.83,242.2,218.83,245.18,242.2
29702,54426,전북특별자치도 김제시 부량로 209,219.64,236.5,219.64,245.99,236.5
29703,54500,전북특별자치도 익산시 백제로 293,180.49,223.04,180.49,202.15,202.15
29704,54501,전북특별자치도 익산시 덕성1길 13,181.14,181.14,181.14,203.76,181.14
29705,54502,전북특별자치도 익산시 함낭로 61,192.42,202.24,192.42,199.49,199.49
